Pillar;Maturity;Rate;y(t);exp(-lambda*t);f1;f2;Erreur;;Sum Error;2,281193375
3M;0.25;2.256598533;2.274241299;0.544734603;0.103253417;0.204727037;0.000311267;;;
6M;0.5;2.083945689;2.014557991;0.296735788;0.755755553;0.282123877;0.004814653;;;
9M;0.75;1.977313536;1.958501667;0.161642252;0.911301065;0.298394888;0.000353886;;;
1Y;1;1.919660844;1.984198847;0.088052128;0.963761966;0.287261894;0.004165154;;B0;2,831871711
2Y;2;1.961367863;2.225202091;0.007753177;0.998404582;0.196427433;0.0696085;;B1;-0,079664753
3Y;3;2.164295062;2.386151246;0.000682684;0.999906347;0.136407682;0.049220166;;B2;-2,683596475
4Y;4;2.377499726;2.476275453;6.01118E-05;0.999993815;0.102821717;0.009756644;;Lambda;2,429826278
5Y;5;2.559849156;2.531334437;5.29297E-06;0.999999564;0.082304683;0.000813089;;;
6Y;6;2.704760933;2.568135023;4.66057E-07;0.999999968;0.068591511;0.018666639;;;
7Y;7;2.815238638;2.594429983;4.10373E-08;0.999999998;0.058793107;0.048756462;;;
8Y;8;2.89613214;2.614152013;3.61342E-09;1;0.051444003;0.079512792;;;
9Y;9;2.952030102;2.629491443;3.1817E-10;1;0.045728006;0.104031187;;;
10Y;10;2.986858975;2.641762994;2.80155E-11;1;0.041155206;0.119091236;;;
11Y;11;3.003926788;2.651803354;2.46683E-12;1;0.037413823;0.123990913;;;
12Y;12;3.006040844;2.660170321;2.17209E-13;1;0.034296005;0.119626418;;;
13Y;13;2.995608885;2.667250062;1.91257E-14;1;0.03165785;0.107819516;;;
14Y;14;2.974712688;2.673318412;1.68406E-15;1;0.029396575;0.090838509;;;
15Y;15;2.9451606;2.678577649;1.48285E-16;1;0.027436804;0.07106647;;;
16Y;16;2.908526437;2.68317948;1.30568E-17;1;0.025722003;0.050781251;;;
17Y;17;2.866179849;2.68723992;1.14968E-18;1;0.024208944;0.032019498;;;
18Y;18;2.81931123;2.6908492;1.01232E-19;1;0.022864003;0.016502493;;;
19Y;19;2.768952875;2.694078556;8.91368E-21;1;0.021660635;0.005606164;;;
20Y;20;2.715997387;2.696984976;7.84869E-22;1;0.020577603;0.000361472;;;
21Y;21;2.661213878;2.699614594;6.91094E-23;1;0.019597717;0.001474615;;;
22Y;22;2.605262348;2.702005156;6.08523E-24;1;0.018706912;0.009359171;;;
23Y;23;2.548706477;2.704187843;5.35817E-25;1;0.017893568;0.024174455;;;
24Y;24;2.492025033;2.70618864;4.71798E-26;1;0.017148002;0.04586605;;;
25Y;25;2.435622042;2.708029372;4.15429E-27;1;0.016462082;0.074205754;;;
26Y;26;2.379835848;2.70972851;3.65794E-28;1;0.015828925;0.108829169;;;
27Y;27;2.324947199;2.711301786;3.22089E-29;1;0.015242669;0.149269867;;;
28Y;28;2.271186431;2.712762685;2.83606E-30;1;0.014698288;0.194989588;;;
29Y;29;2.218739871;2.714122833;2.49721E-31;1;0.01419145;0.245404278;;;
30Y;30;2.167755521;2.715392303;2.19885E-32;1;0.013718402;0.299906046;;;
