Pillar;Maturity;Rate;y(t);exp(-lambda*t);f1;f2;Erreur;;Sum Error;2,281193375;;Taux forward dans 6 mois;Taux composé
3M;0,25;2,256598533;2,274241299;0,544734603;0,103253417;0,204727037;0,000311267;;;;;0,25;1,774982658
6M;0,5;2,083945689;2,014557991;0,296735788;0,755755553;0,282123877;0,004814653;;;;;0,5;1,764127616
9M;0,75;1,977313536;1,958501667;0,161642252;0,911301065;0,298394888;0,000353886;;;;;1;1,921601004
1Y;1;1,919660844;1,984198847;0,088052128;0,963761966;0,287261894;0,004165154;;B0;2,831871711;;2;2,180614423
2Y;2;1,961367863;2,225202091;0,007753177;0,998404582;0,196427433;0,0696085;;B1;-0,079664753;;3;2,421657624
3Y;3;2,164295062;2,386151246;0,000682684;0,999906347;0,136407682;0,049220166;;B2;-2,683596475;;4;2,617067236
4Y;4;2,377499726;2,476275453;6,01E-05;0,999993815;0,102821717;0,009756644;;Lambda;2,429826278;;5;2,767050243
5Y;5;2,559849156;2,531334437;5,29E-06;0,999999564;0,082304683;0,000813089;;;;;6;2,878203132
6Y;6;2,704760933;2,568135023;4,66E-07;0,999999968;0,068591511;0,018666639;;;;;7;2,957328854
7Y;7;2,815238638;2,594429983;4,10E-08;0,999999998;0,058793107;0,048756462;;;;;8;3,01011044
8Y;8;2,89613214;2,614152013;3,61E-09;1;0,051444003;0,079512792;;;;;9;3,041109013
9Y;9;2,952030102;2,629491443;3,18E-10;1;0,045728006;0,104031187;;;;;10;3,054013095
10Y;10;2,986858975;2,641762994;2,80E-11;1;0,041155206;0,119091236;;;;;11;3,051864182
11Y;11;3,003926788;2,651803354;2,47E-12;1;0,037413823;0,123990913;;;;;12;3,03721632
12Y;12;3,006040844;2,660170321;2,17E-13;1;0,034296005;0,119626418;;;;;13;3,012242615
13Y;13;2,995608885;2,667250062;1,91E-14;1;0,03165785;0,107819516;;;;;14;2,97880718
14Y;14;2,974712688;2,673318412;1,68E-15;1;0,029396575;0,090838509;;;;;15;2,93851599
15Y;15;2,9451606;2,678577649;1,48E-16;1;0,027436804;0,07106647;;;;;16;2,892754926
16Y;16;2,908526437;2,68317948;1,31E-17;1;0,025722003;0,050781251;;;;;17;2,842719784
17Y;17;2,866179849;2,68723992;1,15E-18;1;0,024208944;0,032019498;;;;;18;2,78944091
18Y;18;2,81931123;2,6908492;1,01E-19;1;0,022864003;0,016502493;;;;;19;2,733804028
19Y;19;2,768952875;2,694078556;8,91E-21;1;0,021660635;0,005606164;;;;;20;2,676568156
20Y;20;2,715997387;2,696984976;7,85E-22;1;0,020577603;0,000361472;;;;;21;2,618381201
21Y;21;2,661213878;2,699614594;6,91E-23;1;0,019597717;0,001474615;;;;;22;2,559793621
22Y;22;2,605262348;2,702005156;6,09E-24;1;0,018706912;0,009359171;;;;;23;2,501270459
23Y;23;2,548706477;2,704187843;5,36E-25;1;0,017893568;0,024174455;;;;;24;2,443201952
24Y;24;2,492025033;2,70618864;4,72E-26;1;0,017148002;0,04586605;;;;;25;2,385912901
25Y;25;2,435622042;2,708029372;4,15E-27;1;0,016462082;0,074205754;;;;;26;2,329670969
26Y;26;2,379835848;2,70972851;3,66E-28;1;0,015828925;0,108829169;;;;;27;2,274694005
27Y;27;2,324947199;2,711301786;3,22E-29;1;0,015242669;0,149269867;;;;;28;2,221156532
28Y;28;2,271186431;2,712762685;2,84E-30;1;0,014698288;0,194989588;;;;;29;2,169195483
29Y;29;2,218739871;2,714122833;2,50E-31;1;0,01419145;0,245404278;;;;;30;2,083945689
30Y;30;2,167755521;2,715392303;2,20E-32;1;0,013718402;0,299906046;;;;;;
